,y - Velocity Feet / Sec,Cd ,CG Inches,CP Inches,Longitudinal moment of inertia Ounces-Inches^2,Radial moment of inertia Ounces-Inches^2,CNa - normal force coefficient ,
 0.000000, 0.000000, 0.900000,20.428000,20.906000,1576.160629,26.419170,14.013843,
 0.002500, 0.014000, 0.900000,20.427000,20.906000,1575.976077,26.415403,14.013843,
 0.005000, 0.121000, 0.900000,20.426000,20.906000,1575.791476,26.411637,14.013843,
 0.007500, 0.323000, 0.900000,20.424000,20.906000,1575.606826,26.407870,14.013843,
 0.010000, 0.619000, 0.900000,20.423000,20.906000,1575.422127,26.404104,14.013843,
 0.012500, 1.010000, 0.900000,20.422000,20.906000,1575.237380,26.400338,14.013843,
 0.015000, 1.495000, 0.900000,20.420000,20.906000,1575.052584,26.396571,14.013843,
 0.017500, 2.074000, 0.900000,20.419000,20.906000,1574.867738,26.392805,14.013843,
 0.020000, 2.747000, 0.900000,20.418000,20.906000,1574.682844,26.389039,14.013843,
 0.022500, 3.515000, 0.900000,20.416000,20.906000,1574.497901,26.385272,14.013843,
 0.025000, 4.377000, 0.900000,20.415000,20.906000,1574.312910,26.381506,14.013843,
 0.027500, 5.334000, 0.900000,20.414000,20.906000,1574.127869,26.377739,14.013843,
 0.030000, 6.385000, 0.900000,20.413000,20.906000,1573.942779,26.373973,14.013843,
 0.032500, 7.530000, 0.900000,20.411000,20.906000,1573.757640,26.370207,14.013843,
 0.035000, 8.770000, 0.900000,20.410000,20.906000,1573.572453,26.366440,14.013843,
 0.037500,10.104000, 0.900000,20.409000,20.906000,1573.387216,26.362674,14.013843,
 0.040000,11.533000, 0.900000,20.407000,20.906000,1573.201930,26.358907,14.013843,
 0.042500,13.056000, 0.900000,20.406000,20.906000,1573.016595,26.355141,14.013843,
 0.045000,14.673000, 0.900000,20.405000,20.906000,1572.831211,26.351375,14.013843,
 0.047500,16.385000, 0.900000,20.403000,20.906000,1572.645778,26.347608,14.013843,
 0.050000,18.191000, 0.900000,20.402000,20.906000,1572.460296,26.343842,14.013843,
 0.052500,19.994000, 0.900000,20.400000,20.906000,1572.107470,26.336680,14.013843,
 0.055000,21.794000, 0.900000,20.397000,20.906000,1571.754465,26.329518,14.013843,
 0.057500,23.590000, 0.900000,20.395000,20.906000,1571.401283,26.322357,14.013843,
 0.060000,25.384000, 0.900000,20.392000,20.906000,1571.047923,26.315195,14.013843,
 0.062500,27.175000, 0.900000,20.390000,20.906000,1570.694385,26.308033,14.013843,
 0.065000,28.962000, 0.900000,20.387000,20.906000,1570.340668,26.300872,14.013843,
 0.067500,30.746000, 0.900000,20.385000,20.906000,1569.986772,26.293710,14.013843,
 0.070000,32.527000, 0.900000,20.382000,20.906000,1569.632699,26.286548,14.013843,
 0.072500,34.304000, 0.900000,20.380000,20.906000,1569.278446,26.279386,14.013843,
 0.075000,36.078000, 0.900000,20.377000,20.906000,1568.924014,26.272225,14.013843,
 0.077500,37.849000, 0.900000,20.375000,20.906000,1568.569404,26.265063,14.013843,
 0.080000,39.616000, 0.900000,20.372000,20.906000,1568.214614,26.257901,14.013843,
 0.082500,41.380000, 0.900000,20.370000,20.906000,1567.859645,26.250740,14.013843,
 0.085000,43.140000, 0.900000,20.367000,20.906000,1567.504496,26.243578,14.013843,
 0.087500,44.896000, 0.900000,20.365000,20.906000,1567.149168,26.236416,14.013843,
 0.090000,46.649000, 0.900000,20.362000,20.906000,1566.793660,26.229254,14.013843,
 0.092500,48.398000, 0.900000,20.360000,20.906000,1566.437972,26.222093,14.013843,
 0.095000,50.143000, 0.900000,20.357000,20.906000,1566.082104,26.214931,14.013843,
 0.097500,51.885000, 0.900000,20.355000,20.906000,1565.726056,26.207769,14.013843,
 0.100000,53.623000, 0.900000,20.352000,20.906000,1565.369828,26.200608,14.013843,
 0.102500,55.357000, 0.900000,20.350000,20.906000,1565.013419,26.193446,14.013843,
 0.105000,57.087000, 0.900000,20.347000,20.906000,1564.656830,26.186284,14.013843,
 0.107500,58.813000, 0.900000,20.345000,20.906000,1564.300060,26.179122,14.013843,
 0.110000,60.535000, 0.900000,20.342000,20.906000,1563.943109,26.171961,14.013843,
 0.112500,62.253000, 0.900000,20.340000,20.906000,1563.585977,26.164799,14.013843,
 0.115000,63.968000, 0.900000,20.337000,20.906000,1563.228664,26.157637,14.013843,
 0.117500,65.678000, 0.900000,20.335000,20.906000,1562.871169,26.150476,14.013843,
 0.120000,67.384000, 0.900000,20.332000,20.906000,1562.513494,26.143314,14.013843,
 0.122500,69.085000, 0.900000,20.330000,20.906000,1562.155636,26.136152,14.013843,
 0.125000,70.783000, 0.900000,20.327000,20.906000,1561.797597,26.128990,14.013843,
 0.127500,72.476000, 0.900000,20.325000,20.906000,1561.439377,26.121829,14.013843,
 0.130000,74.166000, 0.900000,20.322000,20.906000,1561.080974,26.114667,14.013843,
 0.132500,75.851000, 0.900000,20.320000,20.906000,1560.722389,26.107505,14.013843,
 0.135000,77.531000, 0.900000,20.317000,20.906000,1560.363622,26.100344,14.013843,
 0.137500,79.207000, 0.900000,20.315000,20.906000,1560.004672,26.093182,14.013843,
 0.140000,80.879000, 0.900000,20.312000,20.906000,1559.645540,26.086020,14.013843,
 0.142500,82.546000, 0.900000,20.309000,20.906000,1559.286225,26.078858,14.013843,
 0.145000,84.209000, 0.900000,20.307000,20.906000,1558.926728,26.071697,14.013843,
 0.147500,85.868000, 0.900000,20.304000,20.906000,1558.567047,26.064535,14.013843,
 0.150000,87.521000, 0.900000,20.302000,20.906000,1558.207183,26.057373,14.013843,
 0.152500,89.171000, 0.900000,20.299000,20.906000,1557.847136,26.050212,14.013843,
 0.155000,90.815000, 0.900000,20.297000,20.906000,1557.486906,26.043050,14.013843,
 0.157500,92.455000, 0.900000,20.294000,20.906000,1557.126492,26.035888,14.013843,
